iter	RMSE
0	344.6794708
1	328.8071574
2	314.6372001
3	301.8775706
4	290.7148067
5	280.7155805
6	271.8918426
7	264.0620159
8	257.2273789
9	251.2893587
10	246.0212219
11	241.3747476
12	237.4462218
13	234.0402208
14	231.0086538
15	228.3952209
16	226.1566084
17	224.2510419
18	222.5971219
19	221.1144379
20	219.8673467
21	218.7537508
22	217.7826496
23	216.9453537
24	216.2008379
25	215.583275
26	215.0116344
27	214.5903712
28	214.0660092
29	213.6877261
30	213.3959776
31	213.1241876
32	212.8787398
33	212.7167891
34	212.4921943
35	212.3184203
36	212.1474635
37	211.9688468
38	211.8467004
39	211.7435612
40	211.656578
41	211.5455922
42	211.4612605
43	211.3487228
44	211.2668658
45	211.1566796
46	211.0465867
47	210.9344835
48	210.8482613
49	210.7074794
50	210.6700249
51	210.5968685
52	210.5077037
53	210.4496616
54	210.3402902
55	210.2750473
56	210.2051785
57	210.1394353
58	210.0781899
59	210.0053088
60	209.9705899
61	209.9181715
62	209.8239992
63	209.7720808
64	209.7351421
65	209.7071693
66	209.6620773
67	209.5549176
68	209.4902299
69	209.4423932
70	209.3901322
71	209.3320851
72	209.288097
73	209.2143534
74	209.1779365
75	209.0871049
76	209.0407688
77	208.9281364
78	208.8446908
79	208.8062935
80	208.703209
81	208.6947954
82	208.6275295
83	208.605446
84	208.5465212
85	208.457009
86	208.3823893
87	208.3323535
88	208.2788346
89	208.2577215
90	208.2271657
91	208.2017626
92	208.1763473
93	208.1462511
94	208.0924155
95	208.0709092
96	208.019107
97	207.9784364
98	207.9663612
99	207.9185814
100	207.8836161
101	207.818747
102	207.7682857
103	207.7295421
104	207.6769552
105	207.6494197
106	207.5995951
107	207.5521037
108	207.5080902
109	207.436117
110	207.356902
111	207.3311125
112	207.3098587
113	207.2834496
114	207.2535672
115	207.2250695
116	207.186527
117	207.179207
118	207.152673
119	207.1029939
120	207.0877159
121	207.0197355
122	206.9644193
123	206.9214188
124	206.8854951
125	206.8592461
126	206.8341295
127	206.7686625
128	206.7544748
129	206.7064292
130	206.651462
131	206.6094614
132	206.5640975
133	206.5093384
134	206.4467142
135	206.4069887
136	206.3661336
137	206.3587236
138	206.2715687
139	206.2507465
140	206.2138088
141	206.1619991
142	206.1402534
143	206.077094
144	206.032633
145	205.9312836
146	205.896751
147	205.8348428
148	205.7955673
149	205.7418706
150	205.7095321
151	205.6574746
152	205.6027333
153	205.5690626
154	205.5197611
155	205.4767232
156	205.444612
157	205.3790678
158	205.3495615
159	205.3214449
160	205.3046745
161	205.285308
162	205.2273029
163	205.1794194
164	205.1255632
165	205.085816
166	205.0239869
167	204.9556533
168	204.9158714
169	204.8771622
170	204.8648137
171	204.837925
172	204.8107552
173	204.747407
174	204.7210981
175	204.6406554
176	204.6153626
177	204.5918539
178	204.5675576
179	204.5366583
180	204.4960032
181	204.4468596
182	204.3930069
183	204.3436828
184	204.2904052
185	204.267692
186	204.2388252
187	204.2211532
188	204.1825626
189	204.1701904
190	204.154588
